No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years
684,ALYA,Technology,Information Technology Services,Canada,127200000.0,-999,-999,-999,0.33,0.98,0.06,0.0159,0.2718,0.0,0.1828,-999,7.11,-0.221,0.69,0.85,-0.081,0.0678,-0.4089,0.3571,-0.9521,0.3833,1.33,0.0,False,False
686,CIO,Real Estate,REIT - Office,Canada,224860000.0,-999,-999,-999,1.25,0.33,1.31,-999,0.0891,0.0,0.6993,-0.0916,1.35,-0.0155,-999,0.88,-0.1107,0.0039,-0.4086,0.6295,-0.7062,0.6295,5.63,0.0,False,True
690,PESI,Industrials,Waste Management,USA,112010000.0,-999,24.21,-999,1.34,2.88,0.15,0.015,0.1452,0.0023,0.249,-0.0005,3.67,-0.0278,1.14,0.15,-0.0154,0.0397,-0.4066,1.1266,-0.8005,3.5722,8.23,52270.0,False,True
695,DOMO,Technology,Software - Application,USA,416000000.0,-999,-999,-999,1.31,-999,1.57,0.1432,0.2332,0.026,0.6622,0.0071,2.98,-999,0.56,-999,-0.2409,0.1688,-0.4049,0.4602,-0.8845,0.4908,11.36,1749437.0,True,False
699,UAA,Consumer Cyclical,Apparel Manufacturing,USA,3410000000.0,8.63,12.89,1.01,0.58,1.63,1.54,-999,0.0412,0.0,0.3313,-0.0177,2.45,0.2101,1.35,0.7,0.0703,-0.0513,-0.4036,0.2369,-0.8578,4.0455,7.78,0.0,False,True
700,MYO,Healthcare,Medical Devices,USA,88310000.0,-999,-999,-999,4.77,8.01,0.42,0.5558,0.624,0.0393,0.3876,-0.0051,0.75,-0.8336,2.52,0.06,-0.424,-0.1708,-0.4032,7.9757,-0.9952,8.0244,3.33,297497.0,True,False
704,CERS,Healthcare,Medical Devices,USA,375080000.0,-999,-999,-999,2.44,7.79,0.44,-999,0.208,0.0044,0.779,-0.0034,2.98,-0.8209,1.35,1.97,-0.3241,0.1073,-0.4017,0.7178,-0.9747,2.7636,2.07,45989.0,False,False
709,CLAR,Consumer Cyclical,Leisure,USA,245300000.0,-999,-999,-999,0.64,0.84,0.21,-1.4265,0.2301,0.0,0.8022,0.1841,6.96,-0.2548,1.41,0.48,-0.217,0.0789,-0.4002,0.348,-0.9551,1.5834,6.43,0.0,False,True
713,BATL,Energy,Oil & Gas E&P,USA,115060000.0,-999,-999,-999,0.46,2.82,2.61,-0.21,0.2104,0.0,0.7635,0.0082,0.06,-0.6565,0.53,6.52,-0.1949,-0.0749,-0.3992,0.5499,-0.7003,2.495,6.99,0.0,False,True
721,FVRR,Communication Services,Internet Content & Information,Israel,1100000000.0,-999,13.11,-999,3.13,3.42,10.42,-0.2548,0.473,0.0,0.4641,-0.0152,5.67,-0.0082,2.71,1.43,-0.0066,0.0981,-0.3966,0.4351,-0.9144,0.6809,28.76,0.0,False,False
724,IVR,Real Estate,REIT - Mortgage,USA,456010000.0,-999,2.14,-999,1.72,0.93,7.76,-999,-3.4551,0.0,0.4653,-0.0019,1.41,-0.0085,-999,6.35,-0.1103,0.0873,-0.395,0.4842,-0.9561,0.4842,9.41,0.0,False,True
725,NEXN,Communication Services,Advertising Agencies,Israel,375540000.0,-999,11.26,-999,1.09,0.7,2.76,-0.0758,0.1053,0.0,0.1022,-999,2.06,-0.0363,2.05,0.25,-0.0572,0.1518,-0.3946,0.6482,-0.7811,0.6482,5.2,0.0,False,True
